# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      173        43 -0.39805963514597714203
      173        44 0.002567037442754160903
      173        45 -0.2929357358381980414
      173        46 0.13631819463922156821
      173        49 -0.3385214604989948417
      173        50 -0.13067328640840614185
      173        61 -0.030439827751394969713
      173        62 -0.00055050033736087696391
      173        67 -0.024771257043636019796
      173        68 0.00042598811096466104517
      174        13 -0.15002281521399116193
      174        14 -0.34717591859962060319
      174        15 0.050778490647687038462
      174        16 0.11277356549393337259
      174        17 0.10614791071134284384
      174        18 -0.30889627935518892965
      174        23 -0.013218735709724514088
      174        24 -0.26461095487940022863
      174        25 -0.018127664964563354466
      174        26 0.6909859567535866498
      174        29 0.0019852516640237495571
      174        30 -0.29801689978965306693
      174        31 0.014370152495851072627
      174        32 0.96110605863020726058
      174        43 0.0025670379887626059573
      174        44 0.16322605304087625666
      174        45 0.13631819463921193702
      174        46 -0.3354205629923716625
      174        49 -0.13067331003220339358
      174        50 -0.3299836887312772582
      174        61 -0.00055050033736267402901
      174        62 -0.015149778248806807651
      174        67 0.000425988110965797018
      174        68 -0.012378072833332027028
      175         1 -0.004782835288685600636
      175         2 -0.0013124738943499673297
      175         3 -0.025217103712474125965
      175         4 -0.0066031136378753496272
      175         5 -0.6297498327873719548
      175         6 0.068911501725287732656
      175         7 -6.7226069825927569791e-06
      175         8 1.9284284625724699139e-06
      175        19 -0.056851125139913381845
      175        20 -0.26849737189232453227
      175        21 -0.13441579955809129787
      175        22 0.084499897412507296579
      175        27 -0.035426511502702068279
      175        28 -1.2301646525838172332e-05
      175        35 1.7915151791279657623
      175        36 0.041549970153417770113
      175        37 -0.084126603263195195992
      175        38 0.2613237868866165603
      175        39 -0.22044239290661479802
      175        40 -0.08526609793883088706
      175        47 -0.0010453608879263339738
      175        48 9.2283700967588495846e-05
      175        51 -0.53276755357119343071
      175        52 -0.10721938590346928588
      175        55 -0.054850215802457420733
      175        56 0.012531376606117090866
      176         1 -0.0013124738943500391039
      176         2 -0.0036515372223938137065
      176         3 -0.0066031136378751700833
      176         4 -0.018813412444337842405
      176         5 0.068911501725290619236
      176         6 -0.1760131075169091841
      176         7 1.9284284625435945608e-06
      176         8 -5.4559634790102094144e-06
      176        19 -0.26849737189232569801
      176        20 -0.32305900420118727201
      176        21 0.084499897412517524509
      176        22 -0.39663577834302304881
      176        27 -1.2301646524169259928e-05
      176        28 -0.077088420638990642897
      176        35 0.041549970153392755401
      176        36 1.6516336303916945294
      176        37 0.26132378688663993049
      176        38 -0.1257829575381506082
      176        39 -0.085266097938838589232
      176        40 -0.28829757938707445408
      176        47 9.2283700967732532104e-05
      176        48 -0.0020658892001414585343
      176        51 -0.10721938590347601661
      176        52 -0.19257474815365133169
      176        55 0.012531376606118527217
      176        56 -0.035812617682000287556
      177         9 -0.41044542116417248589
      177        10 -0.14394800162669282861
      177        11 -0.37371585801911583191
      177        12 0.066559110113837055556
      177        13 -0.17342124027945959863
      177        14 0.063720876647866006581
      177        21 -0.066398755002530202018
      177        22 -0.030176183574303697132
      177        23 0.9524283324396589645
      177        24 0.077001213132718279719
      177        25 -0.046951365213457482706
      177        26 0.0032876853771350573845
      177        33 0.95364685733134124668
      177        34 0.010316124619167144072
      177        39 -0.050327994867416299407
      177        40 0.026645419008434759883
      177        41 -0.031682968471371281138
