# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  2128
      184       176 -0.26098454941291704401
      184       181 0.047813113147465842456
      184       182 -0.6131372643597897687
      184       183 0.020173139598458698918
      184       184 2.7145659663705581366
      184       188 -0.97845309845284900163
      184       199 -0.25488633972894358948
      184       200 -0.30207188911552634858
      184       205 0.25004433792503732992
      184       206 -0.00028451101437057660154
      184       213 -0.0661698753652977395
      184       214 -0.26308870857018062939
      185       167 -0.55532354339495004769
      185       168 -0.24841991761631496138
      185       173 -0.44510450863122485998
      185       174 0.25412943012945282684
      185       185 2.5172997294240806454
      185       186 -0.007948083844194793815
      185       191 -0.27383986088873657483
      185       192 -0.0033289247026610149088
      185       193 -0.24523584207216544972
      185       194 0.0094851744398238482109
      185       201 -0.42049560350283798904
      185       202 -0.25010599634404934166
      185       209 -0.56149227130290291221
      185       210 0.24618831793794335172
      186       167 -0.24841991761632065128
      186       168 -0.27405470492363054325
      186       173 0.25412943012945382604
      186       174 -0.23571535314193142741
      186       185 -0.007948083844194793815
      186       186 2.7706688298793800129
      186       191 -0.0033289247026536471045
      186       192 -0.89846757459942327984
      186       193 0.0094851744398198913066
      186       194 -0.86744495577749702875
      186       201 -0.25010599634404401259
      186       202 -0.2090974478132018588
      186       209 0.24618831793793877205
      186       210 -0.27008069399244094555
      187       169 -0.49616322900160092502
      187       170 0.23537636131279240925
      187       183 -0.48856207321734268501
      187       187 1.5148602966898254696
      187       188 0.02924727737441527517
      187       205 -0.52481918639823166295
      187       206 -0.26462363868720756299
      188       169 -0.014623638687191822111
      188       170 -0.22751457155044294001
      188       183 -2.9697009859086607314e-14
      188       184 -0.97845309845284900163
      188       187 0.02924727737441527517
      188       188 1.4961099644195554603
      188       205 -0.014623638687193558569
      188       206 -0.2848264863436127392
      189       171 -0.39509043020545336899
      189       172 -0.25236245933283246723
      189       189 1.4240683595366356862
      189       190 0.004724918665683964375
      189       191 -0.6358163106747969362
      189       207 -0.38907240890520827792
      189       208 0.24763754066714857571
      190       171 -0.0023624593328469326546
      190       172 -0.20184580746023195186
      190       189 0.004724918665683964375
      190       190 1.6683997058585160467
      190       191 9.9156793886834293517e-15
      190       192 -1.2726549237873887588
      190       207 -0.0023624593328470237276
      190       208 -0.1898097648597178444
      191       171 -0.17720196634751325671
      191       172 0.24838240128169891685
      191       173 -0.69805648463536029702
      191       174 -0.25132711629483667215
      191       185 -0.27383986088873657483
      191       186 -0.0033289247026536471045
      191       189 -0.6358163106747969362
      191       190 9.9156793886834293517e-15
      191       191 2.6950841647634335985
      191       192 0.001507661597095871428
      191       201 -0.70413755596918559121
      191       202 0.253895044758377042
      191       207 -0.19100301485714862859
      191       208 -0.24912906663969119903
      192       171 0.24838240128171601429
      192       172 -0.076969965727645514586
      192       173 -0.25132711629483567295
      192       174 -0.3498165214369883258
      192       185 -0.0033289247026610149088
      192       186 -0.89846757459942327984
      192       190 -1.2726549237873887588
      192       191 0.001507661597095871428
      192       192 3.0689814269052613227
      192       201 0.25389504475839985709
      192       202 -0.36005475823998578377
      192       207 -0.24912906663971501331
      192       208 -0.095988711723137207232
      193       167 -0.47827983354548980754
      193       168 0.24038947654764861173
      193       177 -0.57094312337865282814
      193       178 -0.26112635276233420178
      193       185 -0.24523584207216544972
      193       186 0.0094851744398198913066
      193       193 2.5397251928452888592
      193       194 0.0070134617974105771532
      193       195 -0.18549794492244991995
      193       196 0.0060884300919561038998
      193       203 -0.56727140040429158141
      193       204 0.24846815852828690874
      193       209 -0.47666419132528020652
      193       210 -0.25031834864278801334
      194       167 0.24038947654765077666
      194       168 -0.21062458870530068045
      194       177 -0.26112635276233442383
      194       178 -0.31668241098621252583
      194       185 0.0094851744398238482109
      194       186 -0.86744495577749702875
      194       193 0.0070134617974105771532
      194       194 2.7084357853681444439
      194       195 0.006088430091954979799
      194       196 -0.77942089951027093697
      194       203 0.24846815852828479931
      194       204 -0.27940322925491878348
      194       209 -0.2503183486427903448
      194       210 -0.23902684393697964937
      195       177 -0.51198204079420051027
      195       178 0.24309406465172248013
      195       179 -0.60729941268315301706
      195       180 -0.26055078345126625461
      195       193 -0.18549794492244991995
      195       194 0.006088430091954979799
      195       195 2.5777632484469665819
      195       196 0.015119755936293298448
      195       197 -0.16182267544209899546
      195       198 0.012900429252279761033
      195       203 -0.50717753981859869938
      195       204 -0.25616606218479137658
      195       211 -0.58787532724505342507
      195       212 0.23951416570380731907
      196       177 0.24309406465172447853
      196       178 -0.23598893722949695895
      196       179 -0.26055078345128024342
      196       180 -0.33030252866636633513
      196       193 0.0060884300919561038998
      196       194 -0.77942089951027093697
      196       195 0.015119755936293298448
      196       196 2.6458184590459730146
      196       197 0.012900429252290727955
      196       198 -0.7441509000416102193
      196       203 -0.25616606218479054391
      196       204 -0.27183239235041384285
      196       211 0.23951416570380640314
      196       212 -0.26801449370640417769
      197       165 -0.48389250925366911193
      197       166 -0.1988056063641404636
      197       179 -0.46272560310686533525
      197       180 0.2556630731055573591
      197       181 -0.43226701891799468314
      197       182 -0.20560063486963478518
      197       195 -0.16182267544209899546
      197       196 0.012900429252290727955
      197       197 2.6074732270785010435
      197       198 0.094080453118135759505
      197       199 0.095671361659894565976
      197       200 0.20106508452895860417
      197       211 -0.45318983111644056683
      197       212 -0.26412101184898501005
      197       215 -0.69119265730017631633
      197       216 0.10481821307781828689
      198       165 -0.19880560636412408781
      198       166 -0.12185234545562327602
      198       179 0.25566307310556479759
      198       180 -0.26515823663440862834
      198       181 -0.20560063486965640678
      198       182 -0.81781916032526946747
      198       195 0.012900429252279761033
      198       196 -0.7441509000416102193
      198       197 0.094080453118135759505
      198       198 2.6565859006491145955
      198       199 0.2010650845289647104
      198       200 -0.19642967725210347396
      198       211 -0.26412101184896935591
      198       212 -0.28354106127905870371
      198       215 0.10481821307780470054
      198       216 -0.20958022605989332088
      199       181 -1.1266212511886894987
      199       182 0.054180310772327919255
      199       183 -0.24479622290663197171
      199       184 -0.25488633972894358948
      199       197 0.095671361659894565976
      199       198 0.2010650845289647104
      199       199 2.9129422056781462125
      199       200 0.043667892413362385806
      199       213 -0.41072459384235132651
      199       214 0.24535167997245085902
      199       215 -0.57045190843371873513
      199       216 -0.30769644508687798989
      199       217 -0.64113428249421033911
      199       218 0.018317817128715434272
      200       181 0.054180310772332325453
      200       182 -0.47391061866766986954
      200       183 -0.25488633972894636504
      200       184 -0.30207188911552634858
      200       197 0.20106508452895860417
      200       198 -0.19642967725210347396
      200       199 0.043667892413362385806
      200       200 2.7568209240329117904
      200       213 0.2453516799724666797
      200       214 -0.83900934049228093059
      200       215 -0.30769644508687871154
      200       216 -0.82743093152524016531
      200       217 0.018317817128705005114
      200       218 -0.10308315850765535637
      201       185 -0.42049560350283798904
      201       186 -0.25010599634404401259
      201       191 -0.70413755596918559121
      201       192 0.25389504475839985709
      201       201 2.6347779257716625878
      201       202 0.0045660770546375167162
      201       207 -0.1498301292756019365
      201       208 0.0014910539806785518165
      201       209 -0.21556577575960317317
      201       210 0.0049030154876437840109
      201       221 -0.71296791644696544399
      201       222 -0.25720030214527916934
      201       227 -0.41545362007671260418
      201       228 0.2424511072079641727
      202       185 -0.25010599634404934166
      202       186 -0.2090974478132018588
      202       191 0.253895044758377042
      202       192 -0.36005475823998578377
      202       201 0.0045660770546375167162
      202       202 2.6621917283454288317
      202       207 0.0014910539807096870671
      202       208 -0.69907424353838054643
      202       209 0.0049030154876495354865
      202       210 -0.82135730835908882241
      202       221 -0.25720030214529421286
